id,language,user_agent,browser_language,created_at,device_type,ip,city,country,latitude,longitude,region,operating_system,raw_request_body,referrer,color_depth,height,width,time_zone,profile_id
9967,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-27 12:15:33.452721,Desktop,196.189.127.133,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/session-expired,24,720,1280,Africa/Nairobi,303
9987,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 04:39:12.768641,Desktop,196.191.60.68,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,864,1536,Africa/Addis_Ababa,208
9989,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 04:39:26.023476,Tablet,196.191.60.68,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,864,1536,Africa/Addis_Ababa,202
9990,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 04:41:35.837839,Desktop,102.213.69.195,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Africa/Nairobi,255
9996,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 06:36:02.610206,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,,24,1080,1920,Asia/Dhaka,103
9997,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 06:36:16.256968,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,,24,1080,1920,Asia/Dhaka,356
10001,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 11:56:26.896140,Desktop,202.47.51.112,Karachi,PK,24.8608,67.0104,Sindh,Windows,,https://dev.pamifactura.com/es/session-expired,24,864,1536,Asia/Karachi,56
10002,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-28 12:58:59.777672,Desktop,197.156.71.67,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,,24,864,1536,Africa/Nairobi,4252
10003,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-29 03:11:22.269676,Desktop,154.57.218.11,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/dashboard/factura,24,768,1366,Asia/Karachi,58
10004,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-29 04:12:03.972555,Desktop,154.57.218.11,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,768,1366,Asia/Karachi,307
