id,code,name,canton_id
403,4,SANTA ROSA,63
404,5,LÍBANO,63
405,6,TIERRAS MORENAS,63
406,7,ARENAL,63
407,8,CABECERAS (hasta ser publicado en el diario oficial La Gaceta),63
408,8,Cabeceras,63
409,1,CARMONA,64
410,2,SANTA RITA,64
411,3,ZAPOTAL,64
412,4,SAN PABLO,64
413,5,PORVENIR ,64
414,5,Porvenir,64
415,6,BEJUCO,64
416,1,LA CRUZ,65
417,2,SANTA CECILIA,65
418,3,LA GARITA,65
419,4,SANTA ELENA,65
420,1,HOJANCHA,66
421,2,MONTE ROMO,66
422,3,PUERTO CARRILLO,66
423,4,HUACAS,66
424,5,MATAMBÚ,66
425,1,PUNTARENAS,67
426,2,PITAHAYA,67
427,3,CHOMES,67
428,4,LEPANTO,67
429,5,PAQUERA,67
430,6,MANZANILLO,67
431,7,GUACIMAL,67
432,8,BARRANCA,67
433,10,ISLA DEL COCO,67
434,11,CÓBANO,67
435,12,CHACARITA,67
436,13,CHIRA,67
437,14,ACAPULCO,67
438,15,EL ROBLE,67
439,16,ARANCIBIA,67
440,1,ESPÍRITU SANTO,68
441,2,SAN JUAN GRANDE,68
442,3,MACACONA,68
443,4,SAN RAFAEL,68
444,5,SAN JERÓNIMO,68
445,6,CALDERA,68
446,1,BUENOS AIRES,69
447,2,VOLCÁN,69
448,3,POTRERO GRANDE,69
449,4,BORUCA,69
450,5,PILAS,69
451,6,COLINAS,69
452,7,CHÁNGUENA,69
453,8,BIOLLEY,69
454,9,BRUNKA,69
455,1,Miramar,70
456,2,LA UNIÓN ,70
457,2,La Unión,70
458,3,SAN ISIDRO,70
459,1,PUERTO CORTÉS,71
460,2,PALMAR,71
461,3,SIERPE,71
462,4,BAHÍA BALLENA,71
463,5,PIEDRAS BLANCAS,71
464,6,BAHÍA DRAKE,71
465,1,QUEPOS,72
466,2,SAVEGRE ,72
467,2,Savegre,72
468,3,NARANJITO,72
469,1,GOLFITO,73
470,3,GUAYCARÁ,73
471,4,PAVÓN,73
472,1,SAN VITO,74
473,2,SABALITO,74
474,3,AGUABUENA,74
475,4,LIMONCITO,74
476,5,PITTIER,74
477,6,GUTIÉRREZ BRAUN,74
478,1,PARRITA,75
479,1,CORREDOR,76
480,2,LA CUESTA,76
481,3,CANOAS,76
482,4,LAUREL,76
483,1,JACÓ,77
484,2,TÁRCOLES,77
485,3,Lagunillas,77
486,1,Monte Verde,78
487,1,Puerto Jimenez,79
488,1,LIMÓN,80
489,2,VALLE LA ESTRELLA,80
490,3,RÍO BLANCO ,80
491,3,Río Blanco,80
492,4,MATAMA,80
493,1,GUÁPILES,81
494,2,JIMÉNEZ,81
495,3,RITA,81
496,4,ROXANA,81
497,5,CARIARI,81
498,6,COLORADO,81
499,7,LA COLONIA,81
500,1,SIQUIRRES,82
501,2,PACUARITO,82
502,3,FLORIDA,82
503,4,GERMANIA,82
504,5,EL CAIRO,82
505,6,ALEGRÍA,82
506,7,REVENTAZÓN,82
507,1,BRATSI,83
508,2,SIXAOLA,83
509,3,CAHUITA,83
510,4,TELIRE,83
511,1,MATINA,84
512,2,BATÁN,84
513,3,CARRANDI,84
514,1,GUÁCIMO,85
515,2,MERCEDES,85
516,3,POCORA,85
517,4,RÍO JIMÉNEZ,85
518,5,DUACARÍ,85
