id,code,name,distrito_id
562,11,Chilamate,38
563,12,Delicias,38
564,13,Esperanza,38
565,14,Esquipulas,38
566,15,La Pacaya,38
567,16,Las Pavas,38
568,17,Mata de Caña,38
569,18,Miramar,38
570,19,Nápoles,38
571,20,Naranjillo,38
572,21,Palma,38
573,22,Quebrada Arroyo,38
574,23,Rodeo,38
575,24,Sabana (parte),38
576,25,Salado,38
577,26,San Bernardo,38
578,27,San Francisco,38
579,28,San Martín,38
580,29,Santa Cecilia,38
581,30,Santa Marta,38
582,31,Santa Rosa,38
583,32,Zapotal,38
584,1,SAN CARLOS centro,39
585,2,Alto Chiral,39
586,3,San Juan (Alto San Juan),39
587,4,Bajo Jénaro,39
588,5,Bajo San José,39
589,6,Jamaica,39
590,7,Quebrada Seca (Santa Ana),39
591,8,San Jerónimo,39
592,9,San Josecito,39
593,1,ASERRÍ centro,40
594,2,Alfonso XIII,40
595,3,Barro,40
596,4,Cinco Esquinas (parte),40
597,5,Corazón de Jesús,40
598,6,Guapinol,40
599,7,Las Mercedes,40
600,8,Lomas de Aserrí,40
601,9,Lourdes,40
602,10,María Auxiliadora,40
603,11,Mesas,40
604,12,Poás,40
605,13,Santa Rita,40
606,14,Sáurez,40
607,15,Tres Marías,40
608,16,Vereda,40
609,17,Guatuso,40
610,18,Mirador,40
611,1,TARBACA centro,41
612,2,Bajos de Praga,41
613,3,Máquina Vieja,41
614,4,Tigre,41
615,1,VUELTA DE JORCO centro,42
616,2,Calvario,42
617,3,Ceiba Alta (parte),42
618,4,Jocotal,42
619,5,Legua de Naranjo,42
620,6,Mangos,42
621,7,Meseta,42
622,8,Monte Redondo,42
623,9,Ojo de Agua,42
624,10,Rosalía,42
625,11,Uruca,42
626,1,SAN GABRIEL centro,43
627,2,Pueblo Nuevo,43
628,3,La Fila (parte),43
629,4,Limonal,43
630,5,Los Solano,43
631,6,Rancho Grande,43
632,7,Salitral,43
633,8,Tranquerillas,43
634,9,Trinidad (parte),43
635,10,Villanueva,43
636,1,LEGUA centro,44
637,2,Alto Buenavista,44
638,3,Altos del Aguacate,44
639,4,Bajo Bijagual,44
640,5,Bajo Máquinas,44
641,6,Bajo Venegas (parte),44
642,7,Carmen (parte),44
643,1,MONTERREY centro,45
644,2,Ojo de Agua (parte),45
645,3,Portuguez,45
646,1,SALITRILLOS centro,46
647,2,Cinco Esquinas (parte),46
648,3,Santa Teresita,46
649,4,Cerro,46
650,5,Cuesta Grande,46
651,6,Guinealillo,46
652,7,Huaso (parte),46
653,8,Lagunillas,46
654,9,Palo Blanco,46
655,10,Quebradas,46
656,11,Rincón,46
657,1,COLÓN centro,47
658,2,Alhambra,47
659,3,Brasil,47
660,4,Carreras,47
661,5,Colonia del Prado,47
662,6,Michoacán,47
663,7,Nuevo Brasil,47
664,8,Piñal,47
665,9,San Bosco,47
666,10,San Vicente,47
667,11,Tablera,47
